"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs61192126-<b>T</b>,"8 x 10-9",,0.709,1.0390689,'-,[1.03-1.05],"AC134508.1, RYBP","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:72345701
rs343478-<b>G</b>,"3 x 10-10",,0.5549,1.038961,'-,[1.03-1.05],AL162384.1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:6051399
rs4771332-<b>C</b>,"6 x 10-9",,0.6868,1.0384216,'-,[1.03-1.05],"AL136961.1, CCR12P","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,13:99418203
rs3828794-<b>G</b>,"1 x 10-9",,0.5206,1.0380982,'-,[1.03-1.05],HLA-DQB1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32668126
rs4381563-<b>T</b>,"3 x 10-9",,0.6665,1.0380982,'-,[1.03-1.05],PPCDC,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,15:75108438
rs1143633-<b>C</b>,"8 x 10-9",,0.6486,1.0373445,'-,[1.03-1.05],IL1B,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:112832890
rs10501149-<b>G</b>,"2 x 10-8",,0.6842,1.0364842,'-,[1.02-1.05],PRR5L,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:36354471
rs8086340-<b>G</b>,"3 x 10-9",,0.5355,1.0363768,'-,[1.02-1.05],TNFRSF11A,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,18:62339745
rs13405815-<b>C</b>,"3 x 10-9",,0.5362,1.036162,'-,[1.02-1.05],FOSL2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:28406043
rs9272545-<b>T</b>,"1 x 10-8",,0.6122,1.0357327,'-,[1.02-1.05],HLA-DQA1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32639108
rs7240948-<b>C</b>,"7 x 10-9",,0.6013,1.0357327,'-,[1.02-1.05],STARD6,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,18:54338086
rs6479828-<b>A</b>,"9 x 10-9",,0.592,1.0356256,'-,[1.02-1.05],"AC067752.1, AC024598.1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:62615590
rs707954-<b>A</b>,"1 x 10-13",,0.3039,1.062,'-,[1.046-1.078],HLA-DRB1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32581724
rs2422254-<b>T</b>,"1 x 10-9",,0.09283,1.065,'-,[1.044-1.086],AL031599.1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:172810693
rs9271701-<b>T</b>,"2 x 10-17",,0.1795,1.067,'-,[1.051-1.082],"HLA-DRB1, HLA-DQA1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32625422
rs77665773-<b>T</b>,"1 x 10-8",,0.05889,1.074,'-,[1.049-1.1],"OTULIN, ANKH","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:14700894
rs17293632-<b>T</b>,"6 x 10-25",,0.2372,1.074,'-,[1.06-1.088],SMAD3,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,15:67150258
rs13020553-<b>G</b>,"2 x 10-33",,0.3884,1.076,'-,[1.064-1.088],"IL1RL1, IL18R1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:102315366
rs1444789-<b>C</b>,"7 x 10-22",,0.1849,1.076,'-,[1.06-1.091],"AC044784.1, LINC00709","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:9022398
rs62623446-<b>T</b>,"1 x 10-11",,0.07213,1.08,'-,[1.057-1.103],TESPA1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,12:54974507
rs17454584-<b>G</b>,"2 x 10-30",,0.2184,1.085,'-,[1.07-1.099],"IL2, ADAD1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,4:122432277
rs144829310-<b>T</b>,"4 x 10-25",,0.1623,1.086,'-,[1.07-1.102],"IL33, GTF3AP1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:6208030
rs981625-<b>G</b>,"9 x 10-13",,0.06511,1.088,'-,[1.064-1.113],LINC00393,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,13:73465798
rs45613035-<b>C</b>,"6 x 10-20",,0.09838,1.094,'-,[1.074-1.115],KIAA1109,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,4:122219915
rs2390314-<b>A</b>,"8 x 10-15",,0.06907,1.094,'-,[1.071-1.118],"ITGB8, EEF1A1P27","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,7:20416355
rs380852-<b>T</b>,"7 x 10-15",,0.05472,1.107,'-,[1.08-1.135],HLA-B,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:31336711
rs7936312-<b>T</b>,"4 x 10-70",,0.4769,1.111,'-,[1.098-1.123],"AP001189.2, EMSY","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:76582682
rs61839660-<b>T</b>,"1 x 10-32",,0.09897,1.123,'-,[1.103-1.144],IL2RA,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:6052734
rs17142799-<b>T</b>,"6 x 10-12",,0.02657,1.132,'-,[1.094-1.171],ITGB8,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,7:20404337
rs7728912-<b>C</b>,"5 x 10-52",,0.1461,1.134,'-,[1.116-1.152],"SLC25A46, AC008782.1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:110812772
rs61815559-<b>T</b>,"3 x 10-19",,0.03183,1.16,'-,[1.125-1.197],FLG-AS1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:152298743
rs12122629-<b>C</b>,"8 x 10-25",,0.04184,1.16,'-,[1.129-1.192],"TCHHL1, TCHH","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:152101640
rs55646091-<b>A</b>,"5 x 10-32",,0.04826,1.173,'-,[1.144-1.204],"EMSY, AP001189.2","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:76588387
rs112401631-<b>A</b>,"1 x 10-43",,0.01884,1.336,'-,[1.284-1.39],"AC004585.2, SMARCE1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,17:40608272
rs7728912-<b>C</b>,"5 x 10-26",,0.1473,1.175,'-,[1.141-1.209],"SLC25A46, AC008782.1","Allergic rhinitis","allergic rhinitis",GCST009719,5:110812772
rs112401631-<b>A</b>,"3 x 10-17",,0.01598,1.378,'-,[1.283-1.48],"AC004585.2, SMARCE1","Allergic rhinitis","allergic rhinitis",GCST009719,17:40608272
rs12722502-<b>C</b>,"3 x 10-18",,0.9827,1.2312238,'-,[1.18-1.29],IL2RA,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:6051176
rs143021546-<b>G</b>,"3 x 10-10",,0.98377,1.2528188,'-,[1.17-1.34],IL4R,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,16:27337163
rs72782675-<b>C</b>,"2 x 10-9",,0.98955,1.198897,'-,[1.13-1.27],"LINC00709, AC044784.1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:8986983
rs147725790-<b>T</b>,"2 x 10-12",,0.98229,1.1804981,'-,[1.13-1.23],"HLA-DMB, AL645941.2","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32940196
rs72823641-<b>T</b>,"1 x 10-63",,0.8633,1.1611705,'-,[1.14-1.18],"IL1RL1, IL18R1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:102319699
rs5743604-<b>A</b>,"1 x 10-72",,0.8013,1.1467891,'-,[1.13-1.16],TLR1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,4:38799664
rs34210653-<b>G</b>,"9 x 10-10",,0.97875,1.1385632,'-,[1.09-1.18],ALOX15,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,17:4632019
rs34210653-<b>G</b>,"2 x 10-9",,0.97838,1.2914891,'-,[1.19-1.4],ALOX15,"Allergic rhinitis","allergic rhinitis",GCST009719,17:4632019
rs72823641-<b>T</b>,"2 x 10-25",,0.8651,1.1930327,'-,[1.16-1.23],"IL1RL1, IL18R1","Allergic rhinitis","allergic rhinitis",GCST009719,2:102319699
rs66819621-<b>A</b>,"2 x 10-25",,0.8428,1.1799409,'-,[1.15-1.22],TLR1,"Allergic rhinitis","allergic rhinitis",GCST009719,4:38817782
rs34290285-<b>G</b>,"3 x 10-24",,0.7465,1.1422044,'-,[1.11-1.17],D2HGDH,"Allergic rhinitis","allergic rhinitis",GCST009719,2:241759225
rs34463936-<b>C</b>,"8 x 10-19",,0.7201,1.1184431,'-,[1.09-1.15],"IL7R, AC137810.1","Allergic rhinitis","allergic rhinitis",GCST009719,5:35850047
rs12935657-<b>G</b>,"8 x 10-15",,0.7569,1.1082788,'-,[1.08-1.14],CLEC16A,"Allergic rhinitis","allergic rhinitis",GCST009719,16:11125184
rs891058-<b>G</b>,"3 x 10-16",,0.7057,1.1071745,'-,[1.08-1.13],LINC00299,"Allergic rhinitis","allergic rhinitis",GCST009719,2:8302417
rs4921290-<b>A</b>,"6 x 10-11",,0.7691,1.0915838,'-,[1.06-1.12],MIR3142HG,"Allergic rhinitis","allergic rhinitis",GCST009719,5:160487233
rs6094570-<b>A</b>,"5 x 10-11",,0.7412,1.0893246,'-,[1.06-1.12],EYA2,"Allergic rhinitis","allergic rhinitis",GCST009719,20:47053702
rs12920150-<b>T</b>,"4 x 10-9",,0.7609,1.0813149,'-,[1.05-1.11],AC044798.3,"Allergic rhinitis","allergic rhinitis",GCST009719,16:49203127
rs962993-<b>C</b>,"6 x 10-11",,0.5797,1.0770059,'-,[1.05-1.1],"AC044784.1, LINC00709","Allergic rhinitis","allergic rhinitis",GCST009719,10:9011169
rs2988277-<b>C</b>,"3 x 10-10",,0.6016,1.0750376,'-,[1.05-1.1],CD247,"Allergic rhinitis","allergic rhinitis",GCST009719,1:167462115
rs6738825-<b>A</b>,"2 x 10-10",,0.502,1.0734221,'-,[1.05-1.1],PLCL1,"Allergic rhinitis","allergic rhinitis",GCST009719,2:198032171
rs597808-<b>G</b>,"2 x 10-8",,0.5183,1.0649627,'-,[1.04-1.09],ATXN2,"Allergic rhinitis","allergic rhinitis",GCST009719,12:111535554
rs491087-<b>A</b>,"2 x 10-8",,0.3366,1.068,'-,[1.045-1.092],"AC068295.1, AC108681.1","Allergic rhinitis","allergic rhinitis",GCST009719,3:187918378
rs2640564-<b>T</b>,"1 x 10-9",,0.3439,1.074,'-,[1.051-1.098],"ERBB3, RPS26","Allergic rhinitis","allergic rhinitis",GCST009719,12:56061510
rs1555926-<b>C</b>,"2 x 10-8",,0.2054,1.079,'-,[1.052-1.107],"ZNF217, AL157838.1","Allergic rhinitis","allergic rhinitis",GCST009719,20:53568405
rs2070901-<b>T</b>,"4 x 10-10",,0.2697,1.081,'-,[1.056-1.107],FCER1G,"Allergic rhinitis","allergic rhinitis",GCST009719,1:161215268
rs2601191-<b>T</b>,"6 x 10-12",,0.4651,1.08,'-,[1.057-1.103],IQGAP1,"Allergic rhinitis","allergic rhinitis",GCST009719,15:90392993
rs1904522-<b>A</b>,"5 x 10-15",,0.3326,1.096,'-,[1.072-1.121],ADAD1,"Allergic rhinitis","allergic rhinitis",GCST009719,4:122415763
rs17293632-<b>T</b>,"9 x 10-16",,0.237,1.109,'-,[1.082-1.136],SMAD3,"Allergic rhinitis","allergic rhinitis",GCST009719,15:67150258
rs7848215-<b>T</b>,"5 x 10-18",,0.255,1.116,'-,[1.09-1.143],"GTF3AP1, IL33","Allergic rhinitis","allergic rhinitis",GCST009719,9:6213468
rs7744020-<b>A</b>,"4 x 10-25",,0.3071,1.131,'-,[1.106-1.157],"HLA-DQA1, HLA-DQB1","Allergic rhinitis","allergic rhinitis",GCST009719,6:32658353
rs11236797-<b>A</b>,"5 x 10-32",,0.4505,1.141,'-,[1.117-1.165],"AP001189.2, EMSY","Allergic rhinitis","allergic rhinitis",GCST009719,11:76588605
rs79180837-<b>A</b>,"7 x 10-9",,0.0268,1.209,'-,[1.137-1.286],ITGB8,"Allergic rhinitis","allergic rhinitis",GCST009719,7:20390052
rs9297768-<b>A</b>,"2 x 10-11",,0.3335,1.043,'-,[1.031-1.055],"MYC, PVT1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,8:127792134
rs2228145-<b>C</b>,"7 x 10-13",,0.4108,1.044,'-,[1.032-1.056],IL6R,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:154454494
rs7646283-<b>T</b>,"4 x 10-12",,0.3656,1.044,'-,[1.032-1.056],GLB1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:33004988
rs6986151-<b>C</b>,"6 x 10-9",,0.197,1.044,'-,[1.029-1.058],"AP000424.1, ANKRD46","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,8:100507673
rs2190097-<b>C</b>,"2 x 10-10",,0.2417,1.045,'-,[1.032-1.059],GSAP,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,7:77409628
rs7140939-<b>A</b>,"1 x 10-12",,0.3916,1.045,'-,[1.033-1.057],RAD51B,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,14:68293810
rs12886625-<b>G</b>,"2 x 10-13",,0.4688,1.045,'-,[1.033-1.056],AL132801.2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,14:102772597
rs2229768-<b>C</b>,"8 x 10-11",,0.2381,1.046,'-,[1.032-1.059],H4C3,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:26104052
rs507666-<b>A</b>,"3 x 10-9",,0.1859,1.046,'-,[1.031-1.061],ABO,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:133273983
rs12952581-<b>A</b>,"3 x 10-13",,0.3627,1.046,'-,[1.034-1.058],AC091180.6,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,17:49370984
rs7601800-<b>T</b>,"4 x 10-13",,0.3283,1.047,'-,[1.034-1.059],"MOB4, HSPE1-MOB4","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:197530375
rs7650683-<b>C</b>,"4 x 10-13",,0.2994,1.048,'-,[1.035-1.06],LPP,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:188727995
rs2070901-<b>T</b>,"7 x 10-13",,0.2699,1.049,'-,[1.036-1.062],FCER1G,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:161215268
rs10912564-<b>T</b>,"2 x 10-13",,0.3047,1.049,'-,[1.036-1.062],TNFSF4,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:173201479
rs3933376-<b>A</b>,"4 x 10-10",,0.1868,1.049,'-,[1.034-1.064],PTPRK,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:127970926
rs7359623-<b>C</b>,"2 x 10-16",,0.4857,1.05,'-,[1.038-1.062],"ZPBP2, GSDMB","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,17:39893336
rs906363-<b>C</b>,"4 x 10-9",,0.1459,1.05,'-,[1.033-1.066],"BATF3, LINC02773","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:212685455
rs763342-<b>C</b>,"4 x 10-16",,0.3393,1.052,'-,[1.04-1.064],"AC068295.1, AC108681.1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:187921587
rs113377887-<b>T</b>,"2 x 10-12",,0.2107,1.052,'-,[1.038-1.067],FOXO1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,13:40629228
rs10244416-<b>C</b>,"1 x 10-18",,0.4879,1.054,'-,[1.042-1.065],"EEF1A1P27, ITGB8","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,7:20536128
rs20541-<b>A</b>,"5 x 10-13",,0.1799,1.057,'-,[1.041-1.072],"TH2LCRR, IL13","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:132660272
rs1555926-<b>C</b>,"3 x 10-14",,0.2072,1.057,'-,[1.042-1.071],"ZNF217, AL157838.1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,20:53568405
rs9276796-<b>G</b>,"1 x 10-20",,0.3953,1.058,'-,[1.046-1.07],"HLA-DOB, HLA-DQB2","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32810645
rs1689510-<b>C</b>,"2 x 10-19",,0.3398,1.058,'-,[1.045-1.07],SUOX,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,12:56002984
rs9648346-<b>G</b>,"2 x 10-15",,0.1994,1.06,'-,[1.045-1.074],JAZF1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,7:28120494
rs3793079-<b>T</b>,"3 x 10-8",,0.6256,1.0347682,'-,[1.02-1.05],MLN,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:33800011
rs4939490-<b>C</b>,"2 x 10-8",,0.6068,1.0346612,'-,[1.02-1.05],"CD6, AP003721.2","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:61026179
rs2072713-<b>T</b>,"3 x 10-8",,0.5155,1.0341262,'-,[1.02-1.05],CSF2RB,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,22:36923383
rs10986320-<b>C</b>,"9 x 10-9",,0.3735,1.036,'-,[1.024-1.048],NEK6,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:124331623
rs4076542-<b>A</b>,"2 x 10-8",,0.3335,1.036,'-,[1.023-1.048],"ASCL2, MIR4686","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:2215989
rs1942094-<b>G</b>,"7 x 10-9",,0.3759,1.036,'-,[1.024-1.048],SMAD4,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,18:51074970
rs60946162-<b>T</b>,"5 x 10-10",,0.4549,1.038,'-,[1.026-1.05],LPP,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:188415548
rs13165038-<b>C</b>,"5 x 10-9",,0.3259,1.038,'-,[1.026-1.051],"IRF1-AS1, AC116366.3","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:132477658
rs6830371-<b>T</b>,"1 x 10-9",,0.3761,1.038,'-,[1.026-1.05],STX18-AS1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,4:4765968
rs17033015-<b>A</b>,"7 x 10-10",,0.4244,1.038,'-,[1.026-1.05],"NFKB1, MANBA","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,4:102625147
rs10796303-<b>T</b>,"1 x 10-9",,0.3323,1.039,'-,[1.027-1.051],PRKCQ-AS1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:6585738
rs3813308-<b>G</b>,"2 x 10-10",,0.4352,1.039,'-,[1.027-1.051],TNFAIP8,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:119355086
rs10818483-<b>T</b>,"6 x 10-10",,0.3574,1.039,'-,[1.027-1.051],PHF19,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:120888195
rs2013724-<b>A</b>,"2 x 10-8",,0.2644,1.039,'-,[1.026-1.053],"AL133163.2, AL133163.1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,14:35387142
rs10185028-<b>G</b>,"3 x 10-8",,0.227,1.04,'-,[1.026-1.054],REL,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:60891604
rs13185930-<b>A</b>,"1 x 10-8",,0.2467,1.04,'-,[1.026-1.053],"CDC23, GFRA3","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:138241824
rs2746438-<b>T</b>,"6 x 10-11",,0.4445,1.04,'-,[1.028-1.051],AHI1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:135396930
rs4743311-<b>G</b>,"2 x 10-8",,0.2533,1.04,'-,[1.026-1.054],COL15A1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:99028596
rs10468514-<b>G</b>,"1 x 10-10",,0.3984,1.04,'-,[1.028-1.052],"AC003070.2, ARHGAP27","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,17:45378874
rs1344674-<b>G</b>,"2 x 10-11",,0.4489,1.041,'-,[1.029-1.053],ZBTB38,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:141406344
rs4739736-<b>A</b>,"1 x 10-10",,0.3478,1.041,'-,[1.028-1.053],AC034114.2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,8:80365134
rs2393717-<b>G</b>,"1 x 10-11",,0.4697,1.041,'-,[1.029-1.052],SPPL3,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,12:120782572
rs7953139-<b>C</b>,"1 x 10-11",,0.4797,1.041,'-,[1.03-1.053],LRRC43,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,12:122177994
rs12784963-<b>G</b>,"6 x 10-12",,0.4295,1.042,'-,[1.03-1.053],SUFU,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:102577229
rs3116590-<b>G</b>,"1 x 10-8",,0.2145,1.042,'-,[1.028-1.056],DLEU1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,13:50234741
rs7927894-<b>A</b>,"8 x 10-10",,0.36,1.22,'-,[1.15-1.30],"EMSY, AP001189.2","Atopic dermatitis","atopic eczema",GCST000374,11:76590272
rs9368677-<b>G</b>,"1 x 10-17",,0.798,1.36,'-,[1.27-1.46],HLA-B,"Atopic dermatitis","atopic eczema",GCST001709,6:31304544
rs13015714-<b>G</b>,"8 x 10-18",,0.412,1.27,'-,[1.20-1.34],IL18R1,"Atopic dermatitis","atopic eczema",GCST001709,2:102355405
rs11236809-<b>G</b>,"3 x 10-6",,0.25,1.24,'-,[NR],LINC02757,"Atopic dermatitis","atopic eczema",GCST001709,11:76621166
rs593982-<b>C</b>,"6 x 10-7",,0.53,1.23,'-,[NR],"KRT8P26, AP001266.2","Atopic dermatitis","atopic eczema",GCST001709,11:65745636
rs1295686-<b>T</b>,"2 x 10-6",,0.30,1.22,'-,[NR],"IL13, TH2LCRR","Atopic dermatitis","atopic eczema",GCST001709,5:132660151
rs176095-<b>T</b>,"8 x 10-20",,0.81,1.4,'-,[1.30-1.51],"PBX2, GPSM3","Atopic dermatitis","atopic eczema",GCST001709,6:32190542
rs9469099-<b>G</b>,"5 x 10-19",,0.909,1.61,'-,[1.44-1.80],"TSBP1-AS1, TSBP1","Atopic dermatitis","atopic eczema",GCST001709,6:32341131
rs878860-<b>G</b>,"2 x 10-22",,0.537,1.31,'-,[1.24-1.38],"OR10A3, NLRP10","Atopic dermatitis","atopic eczema",GCST001709,11:7946812
rs2271404-<b>G</b>,"3 x 10-7",,0.238,1.17,'-,[1.10-1.25],MIR4435-2HG,"Atopic dermatitis","atopic eczema",GCST001709,2:111246290
rs7613051-<b>A</b>,"6 x 10-21",,0.453,1.29,'-,[1.22-1.36],GLB1,"Atopic dermatitis","atopic eczema",GCST001709,3:33023847
rs12634229-<b>G</b>,"2 x 10-19",,0.327,1.29,'-,[1.22-1.37],"AC048334.1, CCDC80","Atopic dermatitis","atopic eczema",GCST001709,3:112657461
rs4722404-<b>G</b>,"8 x 10-9",,0.326,1.18,'-,[1.12-1.25],AC024028.1,"Atopic dermatitis","atopic eczema",GCST001709,7:3089155
rs7815944-<b>A</b>,"4 x 10-7",,0.673,1.16,'-,[1.10-1.23],LINC00824,"Atopic dermatitis","atopic eczema",GCST001709,8:128415272
rs10995251-<b>C</b>,"6 x 10-20",,0.511,1.28,'-,[1.22-1.36],"AC024598.1, AC067752.1","Atopic dermatitis","atopic eczema",GCST001709,10:62638706
rs1444418-<b>A</b>,"2 x 10-7",,0.676,1.17,'-,[1.10-1.24],AC067751.1,"Atopic dermatitis","atopic eczema",GCST001709,10:62800710
rs9923856-<b>A</b>,"6 x 10-6",,0.781,1.17,'-,[1.09-1.25],CLEC16A,"Atopic dermatitis","atopic eczema",GCST001709,16:11116558
rs16999165-<b>T</b>,"2 x 10-8",,0.692,1.19,'-,[1.12-1.26],"AL133335.2, PFDN4","Atopic dermatitis","atopic eczema",GCST001709,20:54190682
rs6661961-<b>T</b>,"9 x 10-11",,NR,'-,"0.338 unit increase",[0.24-0.44],"FLG-AS1, LCE5A","Atopic dermatitis","atopic eczema",GCST002100,1:152469813
rs1295686-<b>A</b>,"2 x 10-17",,NR,1.383,'-,[1.283-1.49],"IL13, TH2LCRR","Atopic dermatitis","atopic eczema",GCST002100,5:132660151
rs12153855-<b>T</b>,"3 x 10-14",,NR,1.581,'-,[1.405-1.779],"TNXB, AL662884.2","Atopic dermatitis","atopic eczema",GCST002100,6:32107027
rs7130588-<b>G</b>,"4 x 10-13",,NR,1.29,'-,[1.2-1.38],"EMSY, AP001189.2","Atopic dermatitis","atopic eczema",GCST002100,11:76559639
rs12144049-<b>C</b>,"1 x 10-16",,0.279,1.39,'-,[NR],"LCE5A, FLG-AS1","Atopic dermatitis","atopic eczema",GCST002844,1:152468434
rs6720763-<b>C</b>,"4 x 10-8",,0.18,1.29,'-,[NR],"XIRP2-AS1, XIRP2","Atopic dermatitis","atopic eczema",GCST002844,2:167135776
rs3091307-<b>A</b>,"4 x 10-7",,0.228,1.24,'-,[NR],TH2LCRR,"Atopic dermatitis","atopic eczema",GCST002844,5:132653444
rs10738626-<b>T</b>,"1 x 10-8",,0.506,1.23,'-,[NR],"AL157937.1, DMRTA1","Atopic dermatitis","atopic eczema",GCST002844,9:22373458
rs1665050-<b>A</b>,"1 x 10-7",,0.252,1.25,'-,[NR],RNF111,"Atopic dermatitis","atopic eczema",GCST002844,15:59001406
rs4796793-<b>C</b>,"8 x 10-6",,0.748,1.08,'-,[NR],"STAT3, CAVIN1","Atopic dermatitis","atopic eczema",GCST002844,17:42390192
rs6906021-<b>C</b>,"7 x 10-15",,0.4749,'-,"0.0945 unit increase",[0.071-0.118],"HLA-DQB1, HLA-DQA1","Self-reported allergy",allergy,GCST002083,6:32658534
rs11117858-<b>T</b>,"8 x 10-6",(conditional),0.784,'-,"0.0287 unit decrease",NR,IKBKE,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,1:206472931
rs12045923-<b>T</b>,"5 x 10-7",(conditional),0.6497,'-,"0.028762 unit increase",NR,PEX14,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,1:10583772
rs151233-<b>T</b>,"3 x 10-6",(conditional),0.1327,'-,"0.0385 unit increase",NR,"APOBR, CLN3","Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,16:28495107
rs17137937-<b>T</b>,"3 x 10-6",(conditional),0.07483,'-,"0.0424768 unit increase",NR,"CCT5P1, FEM1C","Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,5:115514125
rs231970-<b>A</b>,"5 x 10-6",(conditional),0.8827,'-,"0.035 unit decrease",NR,SGF29,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,16:28555683
rs2726040-<b>C</b>,"5 x 10-6",(conditional),0.5748,'-,"0.0238 unit decrease",NR,SBK1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,16:28319469
rs27741-<b>A</b>,"4 x 10-6",(conditional),0.3622,'-,"0.0239 unit decrease",NR,CLN3,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,16:28492860
